ID,Title,"Tax Status"
72,"Diamond Eternity Band 2.2mm",taxable
95,"Space and Time Parallel Eternity Band",taxable
458,"Aura Ring",taxable
488,"Aura Ring",taxable
799,".2ctw Diamond Martini Studs",taxable
819,"5 Stone Diamond Capsule Necklace",taxable
940,"Apollo Ring",taxable
941,"Apollo Ring",none
942,"Apollo Ring",none
943,"Apollo Ring",none
944,"Apollo Ring",none
945,"Artemis Ring",taxable
946,"Artemis Ring",none
947,"Artemis Ring",none
948,"Artemis Ring",none
949,"Artemis Ring",none
955,"Aurelia Solitaire Ring",taxable
959,"Aurelia Solitaire Ring",none
960,"Aurelia Bezel Solitaire Ring",taxable
964,"Aurelia Bezel Solitaire Ring",none
965,"Aurelia Three Stone with Diamonds Ring",taxable
969,"Aurelia Three Stone with Diamonds Ring",none
970,"Aurelia Three Stone with Sapphires Ring",taxable
974,"Aurelia Three Stone with Sapphires Ring",none
980,"Bloom Ring",taxable
984,"Bloom Ring",none
990,"Bow Ring",taxable
991,"Bow Ring",none
992,"Bow Ring",none
993,"Bow Ring",none
994,"Bow Ring",none
995,"Burnished Diamond Band",taxable
996,"Burnished Diamond Band",none
997,"Burnished Diamond Band",none
998,"Burnished Diamond Band",none
999,"Burnished Diamond Band",none
1000,"Buttercup Ring",taxable
1001,"Buttercup Ring",none
1002,"Buttercup Ring",none
1003,"Buttercup Ring",none
1004,"Buttercup Ring",none
1015,"Cloud Ring",taxable
1016,"Cloud Ring",none
1017,"Cloud Ring",none
1018,"Cloud Ring",none
1019,"Cloud Ring",none
1046,"Dawn Ring",taxable
1047,"Dawn Ring",none
1048,"Dawn Ring",none
1050,"Dawn Ring",none
1061,"Diamond Eternity Band 1.3mm",taxable
1062,"Diamond Eternity Band 1.3mm",none
1063,"Diamond Eternity Band 1.3mm",none
1064,"Diamond Eternity Band 1.3mm",none
1065,"Diamond Eternity Band 1.3mm",none
1066,"Diamond Eternity Band 1.8mm",taxable
1067,"Diamond Eternity Band 1.8mm",none
1068,"Diamond Eternity Band 1.8mm",none
1069,"Diamond Eternity Band 1.8mm",none
1070,"Diamond Eternity Band 1.8mm",none
1076,"Diamond Eternity Band 2.8mm",taxable
1077,"Diamond Eternity Band 2.8mm",none
1078,"Diamond Eternity Band 2.8mm",none
1079,"Diamond Eternity Band 2.8mm",none
1080,"Diamond Eternity Band 2.8mm",none
1081,"Diamond Eternity Band 3.2mm",taxable
1082,"Diamond Eternity Band 3.2mm",none
1083,"Diamond Eternity Band 3.2mm",none
1084,"Diamond Eternity Band 3.2mm",none
1085,"Diamond Eternity Band 3.2mm",none
1086,"Diamond Eternity Band 3.8mm",taxable
1087,"Diamond Eternity Band 3.8mm",none
1088,"Diamond Eternity Band 3.8mm",none
1089,"Diamond Eternity Band 3.8mm",none
1090,"Diamond Eternity Band 3.8mm",none
1097,"Driftwood Diamond Band",taxable
1098,"Driftwood Diamond Band",none
1099,"Driftwood Diamond Band",none
1100,"Driftwood Diamond Band",none
1101,"Driftwood Diamond Band",none
1117,"Gardenia Ring",taxable
1118,"Gardenia Ring",none
1120,"Gardenia Ring",none
1121,"Gardenia Ring",none
1122,"Gather Ring",taxable
1123,"Gather Ring",none
1124,"Gather Ring",none
1125,"Gather Ring",none
1126,"Gather Ring",none
1138,"Milgrained Bezel Diamond Eternity Band",taxable
1139,"Milgrained Bezel Diamond Eternity Band",none
1140,"Milgrained Bezel Diamond Eternity Band",none
1141,"Milgrained Bezel Diamond Eternity Band",none
1142,"Milgrained Bezel Diamond Eternity Band",none
1160,"Oceans Band",taxable
1161,"Oceans Band",none
1162,"Oceans Band",none
1163,"Oceans Band",none
1164,"Oceans Band",none
1177,"Orpheus Ring",taxable
1181,"Orpheus Ring",none
1188,"Peacock Feather Ring",taxable
1189,"Peacock Feather Ring",none
1190,"Peacock Feather Ring",none
1191,"Peacock Feather Ring",none
1192,"Peacock Feather Ring",none
1210,"Rosalyn Ring",taxable
1211,"Rosalyn Ring",none
1212,"Rosalyn Ring",none
1214,"Rosalyn Ring",none
1215,"Twig Scattered Diamond Band",taxable
1216,"Twig Scattered Diamond Band",none
1217,"Twig Scattered Diamond Band",none
1218,"Twig Scattered Diamond Band",none
1219,"Twig Scattered Diamond Band",none
1225,"Signet Ring",taxable
1226,"Signet Ring",none
1227,"Signet Ring",none
1228,"Signet Ring",none
1229,"Signet Ring",none
1240,"Space and Time Parallel Ring",taxable
1241,"Space and Time Parallel Ring",none
1242,"Space and Time Parallel Ring",none
1243,"Space and Time Parallel Ring",none
1244,"Space and Time Parallel Ring",none
1250,"Space and Time Single Full Eternity Band",taxable
1251,"Space and Time Single Full Eternity Band",none
1252,"Space and Time Single Full Eternity Band",none
1253,"Space and Time Single Full Eternity Band",none
1254,"Space and Time Single Full Eternity Band",none
1255,"Space and Time Single Half Eternity Band",taxable
1256,"Space and Time Single Half Eternity Band",none
1257,"Space and Time Single Half Eternity Band",none
1258,"Space and Time Single Half Eternity Band",none
1259,"Space and Time Single Half Eternity Band",none
1260,"Space and Time Toi Et Moi Ring",taxable
1261,"Space and Time Toi Et Moi Ring",none
1262,"Space and Time Toi Et Moi Ring",none
1263,"Space and Time Toi Et Moi Ring",none
1264,"Space and Time Toi Et Moi Ring",none
1265,"Spiral Staircase Ring",taxable
1266,"Spiral Staircase Ring",none
1267,"Spiral Staircase Ring",none
1268,"Spiral Staircase Ring",none
1269,"Spiral Staircase Ring",none
1276,"Syzygy Ring",taxable
1277,"Syzygy Ring",none
1278,"Syzygy Ring",none
1279,"Syzygy Ring",none
1280,"Syzygy Ring",none
1291,"Twig Pave Diamond Band",taxable
1292,"Twig Pave Diamond Band",none
1293,"Twig Pave Diamond Band",none
1294,"Twig Pave Diamond Band",none
1295,"Twig Pave Diamond Band",none
1308,"Wheat Ring",taxable
1309,"Wheat Ring",none
1310,"Wheat Ring",none
1311,"Wheat Ring",none
1312,"Wheat Ring",none
1319,"Wheat Band 3mm",taxable
1325,"Wheat Band 4mm",taxable
1343,"Wheat Burnished Diamond Band",taxable
1344,"Wheat Burnished Diamond Band",none
1345,"Wheat Burnished Diamond Band",none
1346,"Wheat Burnished Diamond Band",none
1347,"Wheat Burnished Diamond Band",none
1425,"1.74ct Round Liberian Ruby",taxable
1433,"1.35ct Emerald Cut Winza Sapphire",taxable
1449,"1.33ct Emerald Cut Winza Sapphire",taxable
1453,"0.58ct Pear Cut Diamond",taxable
1481,"1.58ct Emerald Cut Winza Sapphire",taxable
1485,"0.61ct Pear Cut Diamond",taxable
1511,"0.97ct Pear Cut Montana Sapphire",taxable
1515,"1.29ct Emerald Cut Winza Sapphire",taxable
1523,"2.52ct Round Australian Opal",taxable
1535,"1.75ctw dew Emerald Cut Moissanite",taxable
1543,"0.99ct Emerald Cut Winza Sapphire",taxable
1555,"1.67ct Oval Montana Sapphire",taxable
1563,"1.0ct Round Montana Sapphire",taxable
1567,"1.46ct Emerald Cut Winza Sapphire",taxable
1575,"1.44ct Oval Sri Lankan Sapphire",taxable
1579,"0.61ct Trillion Cut Oregon Sunstone",taxable
1611,"0.80ct Pear Cut Montana Sapphire",taxable
1619,"1.36ct Emerald Cut Winza Sapphire",taxable
1623,"1.23ct Emerald Cut Winza Sapphire",taxable
1635,"0.65ct Pear Cut Diamond",taxable
1643,"1.23ct Old European Cut Diamond",taxable
1647,"1.53ct Emerald Cut Diamond",taxable
1667,"1.68ct Oval Montana Sapphire",taxable
1671,"1.64ct Emerald Cut Diamond",taxable
1675,"2.40ct Hex Slice Montana Sapphire",taxable
1679,"1.38ct Oval Montana Sapphire",taxable
1687,"2.59ct Oval Sri Lankan Sapphire",taxable
1691,"2.21ct Round Rose Cut Malawi Sapphire",taxable
1695,"1.58ct Round Sri Lankan Sapphire",taxable
1699,"1.21ct Round Montana Sapphire",taxable
1711,"1.33ct Emerald Cut Winza Sapphire",taxable
